model,setting,gitlab,shopping,shopping_admin,mean
claude_35_sonnet,default,0.36666666666666664,0.26666666666666666,0.3142857142857143,0.3090909090909091
claude_35_sonnet,no_visual_cue,0.06666666666666667,0.1111111111111111,0.17142857142857143,0.11818181818181818
claude_37_sonnet,default,0.5,0.3111111111111111,0.37142857142857144,0.38181818181818183
claude_37_sonnet,no_visual_cue,0.16666666666666666,0.15555555555555556,0.17142857142857143,0.16363636363636364
claude_40_sonnet,default,0.5,0.4222222222222222,0.4857142857142857,0.4636363636363636
claude_40_sonnet,no_visual_cue,0.3333333333333333,0.3111111111111111,0.34285714285714286,0.32727272727272727
claude_40_sonnet_vlm,default,0.43333333333333335,0.4444444444444444,0.4857142857142857,0.45454545454545453
claude_40_sonnet_vlm,no_visual_cue,0.36666666666666664,0.37777777777777777,0.34285714285714286,0.36363636363636365
claude_45_sonnet,default,0.5,0.4,0.6285714285714286,0.5
claude_45_sonnet,no_visual_cue,0.5333333333333333,0.37777777777777777,0.34285714285714286,0.4090909090909091
claude_45_sonnet_vlm,default,0.5666666666666667,0.37777777777777777,0.6571428571428571,0.5181818181818182
claude_45_sonnet_vlm,no_visual_cue,0.5,0.4222222222222222,0.37142857142857144,0.42727272727272725
deepseek_r1,default,0.23333333333333334,0.13333333333333333,0.37142857142857144,0.23636363636363636
deepseek_r1,no_visual_cue,0.16666666666666666,0.044444444444444446,0.14285714285714285,0.10909090909090909
gpt_4o,default,0.43333333333333335,0.2,0.2857142857142857,0.2909090909090909
gpt_4o,no_visual_cue,0.23333333333333334,0.13333333333333333,0.08571428571428572,0.14545454545454545
gpt_4o_mini,default,0.3,0.2,0.2571428571428571,0.24545454545454545
gpt_4o_mini,no_visual_cue,0.1,0.08888888888888889,0.08571428571428572,0.09090909090909091
gpt_5,default,0.5333333333333333,0.35555555555555557,0.5714285714285714,0.4727272727272727
gpt_5,no_visual_cue,0.4,0.28888888888888886,0.37142857142857144,0.34545454545454546
llama31_8b,default,0.16666666666666666,0.1111111111111111,0.11428571428571428,0.12727272727272726
o3,default,0.2,0.15555555555555556,0.11428571428571428,0.15454545454545454
o3_fix_prompt,default,0.4666666666666667,0.37777777777777777,0.4857142857142857,0.43636363636363634
qwen25_32b,default,0.2,0.17777777777777778,0.2,0.19090909090909092
qwen25_32b,no_visual_cue,0.1,0.044444444444444446,0.02857142857142857,0.05454545454545454
qwen25_3b,default,0.1,0.022222222222222223,0.02857142857142857,0.045454545454545456
qwen25_3b,no_visual_cue,0.0,0.0,0.0,0.0
qwen25_7b,default,0.16666666666666666,0.2,0.14285714285714285,0.17272727272727273
qwen25_7b,no_visual_cue,0.03333333333333333,0.022222222222222223,0.0,0.01818181818181818
qwen30ba3b,default,,0.17777777777777778,,0.17777777777777778
qwen30ba3b_finetuned,default,,0.2,,0.2
qwen4b,default,0.26666666666666666,0.17777777777777778,0.2571428571428571,0.22727272727272727
qwen4b_finetuned,default,0.5,0.4444444444444444,0.37142857142857144,0.43636363636363634
