model,setting,gitlab,shopping,shopping_admin,mean,num_tasks
claude_35_sonnet,default,0.36666666666666664,0.26666666666666666,0.3142857142857143,0.3090909090909091,110
claude_37_sonnet,default,0.5,0.3111111111111111,0.37142857142857144,0.38181818181818183,110
claude_40_sonnet,default,0.5,0.4222222222222222,0.4857142857142857,0.4636363636363636,110
claude_40_sonnet_vlm,default,0.43333333333333335,0.4444444444444444,0.4857142857142857,0.45454545454545453,110
claude_45_sonnet,default,0.5,0.4,0.6285714285714286,0.5,110
claude_45_sonnet_vlm,default,0.5666666666666667,0.37777777777777777,0.6571428571428571,0.5181818181818182,110
deepseek_r1,default,0.23333333333333334,0.13333333333333333,0.37142857142857144,0.23636363636363636,110
gpt_4o,default,0.43333333333333335,0.2,0.2857142857142857,0.2909090909090909,110
gpt_4o_mini,default,0.3,0.2,0.2571428571428571,0.24545454545454545,110
gpt_5,default,0.5333333333333333,0.35555555555555557,0.5714285714285714,0.4727272727272727,110
llama31_8b,default,0.16666666666666666,0.1111111111111111,0.11428571428571428,0.12727272727272726,110
o3,default,0.2,0.15555555555555556,0.11428571428571428,0.15454545454545454,110
o3_fix_prompt,default,0.4666666666666667,0.37777777777777777,0.4857142857142857,0.43636363636363634,110
qwen25_32b,default,0.2,0.17777777777777778,0.2,0.19090909090909092,110
qwen25_3b,default,0.1,0.022222222222222223,0.02857142857142857,0.045454545454545456,110
qwen25_7b,default,0.16666666666666666,0.2,0.14285714285714285,0.17272727272727273,110
qwen3-30b-a3b-rl-step19,default,0.5,0.6,0.5428571428571428,0.5545454545454546,110
qwen3-30b-a3b-rl-step39,default,0.5666666666666667,0.6222222222222222,0.5142857142857142,0.5727272727272728,110
qwen3-30b-a3b-rl-step59,default,0.5,0.6222222222222222,0.6,0.5818181818181818,110
qwen3-30b-a3b-rl-step79,default,0.5666666666666667,0.6444444444444445,0.5714285714285714,0.6,110
qwen3-30b-a3b-rl-step99,default,0.5333333333333333,0.7111111111111111,0.5714285714285714,0.6181818181818182,110
qwen3-30b-a3b-rl-step119,default,0.5666666666666667,0.6,0.5428571428571428,0.5727272727272728,110
qwen3-30b-a3b-rl-step139,default,0.5666666666666667,0.6444444444444445,0.5142857142857142,0.5818181818181818,110
qwen3-30b-a3b-rl-step159,default,0.5333333333333333,0.6666666666666666,0.5142857142857142,0.5818181818181818,110
qwen3-30b-a3b-sft-128k-step22,default,0.4666666666666667,0.4888888888888889,0.5428571428571428,0.5,110
qwen3-30b-a3b-sft-128k-step44,default,0.5333333333333333,0.5333333333333333,0.5428571428571428,0.5363636363636364,110
qwen3-30b-a3b-sft-128k-step66,default,0.5333333333333333,0.6444444444444445,0.5428571428571428,0.5818181818181818,110
qwen3-4b-rl-step19,default,0.5333333333333333,0.5555555555555556,0.42857142857142855,0.509090909090909,110
qwen3-4b-rl-step39,default,0.5,0.6222222222222222,0.5142857142857142,0.5545454545454546,110
qwen3-4b-rl-step59,default,0.5333333333333333,0.5777777777777777,0.4857142857142857,0.5363636363636364,110
qwen3-4b-rl-step79,default,0.5333333333333333,0.6,0.4857142857142857,0.5454545454545454,110
qwen3-4b-sft-128k-step22,default,0.4666666666666667,0.5333333333333333,0.4857142857142857,0.5,110
qwen3-4b-sft-128k-step44,default,0.5,0.5111111111111111,0.4,0.4727272727272727,110
qwen3-4b-sft-128k-step66,default,0.5666666666666667,0.5333333333333333,0.5142857142857142,0.5363636363636364,110
